id,value
id_0,4.700275439105574
id_1,17.021815034532978
id_2,24.541993377299782
id_3,8.291728538052535
id_4,27.954218890575078
id_5,21.76192327991737
id_6,22.897142462338355
id_7,31.16390756690322
id_8,17.37176583695675
id_9,58.45021199766112
id_10,14.897352949506612
id_11,10.639850598328623
id_12,61.171807782765676
id_13,52.46850666744123
id_14,21.899124082121816
id_15,11.361484544319394
id_16,31.70129515265802
id_17,68.26282666901734
id_18,-1.1729348687218946
id_19,16.628013602099912
id_20,42.28540412539497
id_21,71.42707643137472
id_22,9.245315506863713
id_23,18.021346199896897
id_24,15.003120213652773
id_25,38.25947393643945
id_26,13.88599131963223
id_27,72.73740026986518
id_28,7.571932042477683
id_29,55.209419205508375
id_30,23.12217713692685
id_31,8.224953846471934
id_32,2.4751090020383675
id_33,21.429334534421486
id_34,30.19516206665164
id_35,36.71835949845876
id_36,42.665123270469806
id_37,29.772622661699494
id_38,44.007441896746776
id_39,35.56238616400944
id_40,6.910201792565239
id_41,39.96436630011315
id_42,31.445651108559215
id_43,50.268226181212604
id_44,15.91747701719248
id_45,35.039715472595844
id_46,24.89303868471221
id_47,10.461051781023286
id_48,24.062083037450996
id_49,32.22392478004652
id_50,21.480932277138102
id_51,8.93873225444501
id_52,21.300517591535897
id_53,53.54074501108215
id_54,16.03701781563294
id_55,35.790236980319534
id_56,32.15458404891396
id_57,23.409392804323453
id_58,58.259698302540215
id_59,21.065627337462917
id_60,16.11891957113923
id_61,41.51741934089142
id_62,12.41880917948532
id_63,48.891397867691936
id_64,15.48723640781744
id_65,15.213959363914224
id_66,13.566486578411919
id_67,-0.036330477428694996
id_68,43.751260211293044
id_69,31.755600951254554
id_70,20.050370481441856
id_71,38.3040652076385
id_72,59.42953218622941
id_73,4.674644871872202
id_74,16.87294832895386
id_75,5.711383678240427
id_76,40.24437391799821
id_77,14.994571330937275
id_78,22.636734100495794
id_79,22.7470615340239
id_80,25.307847669624817
id_81,39.1307052478548
id_82,23.46363165615205
id_83,89.95795309159065
id_84,36.32253385733731
id_85,26.19963883894185
id_86,23.95150454011833
id_87,30.101827759880738
id_88,24.716076121944802
id_89,21.276655652794258
id_90,29.746708109448548
id_91,40.61346534668558
id_92,4.436614270542618
id_93,37.680509500571134
id_94,45.89727816818444
id_95,15.965337306569124
id_96,34.19901841996718
id_97,11.646971154945417
id_98,25.263401890056148
id_99,3.659206929308271
id_100,18.53546163711748
id_101,28.38795044651531
id_102,12.248739810241446
id_103,15.688806942024302
id_104,22.904648827814274
id_105,39.080578234201504
id_106,29.795369148745525
id_107,6.786537133867536
id_108,8.916492894129036
id_109,77.83947217807227
id_110,45.99110452205588
id_111,15.006841093853351
id_112,28.38333740973
id_113,15.11443969470736
id_114,14.316169444429141
id_115,25.22902384621186
id_116,24.55013922140012
id_117,9.948241685225188
id_118,17.93975636960062
id_119,19.4468253585013
id_120,80.98657113112928
id_121,25.59641152988337
id_122,35.37422235120133
id_123,25.195988705940035
id_124,8.633795503859057
id_125,41.486956217850576
id_126,10.916874131416794
id_127,19.43091045325207
id_128,28.042074894227625
id_129,62.612054050692066
id_130,22.260518935365397
id_131,22.492725077603357
id_132,59.30826636764444
id_133,14.847531251539104
id_134,14.836784129024501
id_135,2.317307723197295
id_136,11.173255128472656
id_137,58.724824645808496
id_138,19.492326354057212
id_139,6.133418847547301
id_140,28.12096232827142
id_141,25.984344641851703
id_142,44.17033552838385
id_143,30.858141360732397
id_144,17.879291252049835
id_145,26.662513334117392
id_146,11.011231299407383
id_147,51.699312261156585
id_148,22.559779957334325
id_149,37.96050773460194
id_150,9.02488358942117
id_151,7.0706416959673755
id_152,24.58729054742545
id_153,6.868976052206718
id_154,14.596655241578945
id_155,41.520323092768635
id_156,8.054918639472417
id_157,37.03910347805814
id_158,10.262282937607614
id_159,18.54883336302797
id_160,40.93107770310809
id_161,17.874084917440754
id_162,11.116762221998021
id_163,7.617573958890923
id_164,50.96010662315167
id_165,29.623991692602104
id_166,-0.5190761621216434
id_167,15.01320851144239
id_168,62.9448033450791
id_169,14.188208007900979
id_170,64.30478721644366
id_171,39.75669965470053
id_172,25.902613384112826
id_173,20.564827079738087
id_174,61.79772543946259
id_175,24.52847711789203
id_176,20.792496337225828
